date,fire_scar,site,plot,species,diameter_cm,decay_class,combustion,cwd_notes,cwd_photo
2021-07-17,Aggie Creek,AgCr1,A,NA,NA,NA,NA,NA,NA
2021-07-17,Aggie Creek,AgCr1,B,unknown,6.4,hard,75,NA,NA
2021-07-17,Aggie Creek,AgCr1,C,unknown,6.3,crumbly,75,NA,NA
2021-07-17,Aggie Creek,AgCr2,A,NA,NA,NA,NA,NA,NA
2021-07-17,Aggie Creek,AgCr2,B,NA,NA,NA,NA,NA,NA
2021-07-17,Aggie Creek,AgCr2,C,NA,NA,NA,NA,NA,NA
2021-07-17,Aggie Creek,AgCr3,A,NA,NA,NA,NA,NA,NA
2021-07-17,Aggie Creek,AgCr3,B,NA,NA,NA,NA,NA,NA
2021-07-17,Aggie Creek,AgCr3,C,NA,NA,NA,NA,NA,NA
2021-07-18,Aggie Creek,AgCr4,A,NA,NA,NA,NA,NA,NA
2021-07-18,Aggie Creek,AgCr4,B,NA,NA,NA,NA,NA,NA
2021-07-18,Aggie Creek,AgCr4,C,NA,NA,NA,NA,NA,NA
2021-07-18,Aggie Creek,AgCr5,A,black spruce,5.3,crumbly,75,NA,NA
2021-07-18,Aggie Creek,AgCr5,B,NA,NA,NA,NA,NA,NA
2021-07-18,Aggie Creek,AgCr5,C,NA,NA,NA,NA,NA,NA
2021-07-18,Aggie Creek,AgCr6,A,NA,NA,NA,NA,NA,NA
2021-07-18,Aggie Creek,AgCr6,B,NA,NA,NA,NA,NA,NA
2021-07-18,Aggie Creek,AgCr6,C,NA,NA,NA,NA,NA,NA
2023-07-08,Chitanana,Chit1,A,unknown,0.8,crumbly,50,NA,NA
2025-08-03,Chitanana,Chit1,A,NA,NA,NA,NA,NA,NA
2023-07-08,Chitanana,Chit1,B,unknown,2.7,crumbly,25,NA,NA
2025-08-03,Chitanana,Chit1,B,NA,NA,NA,NA,NA,NA
2023-07-08,Chitanana,Chit1,C,black spruce,3.1,crumbly,50,NA,NA
2025-08-03,Chitanana,Chit1,C,NA,NA,NA,NA,NA,NA
2023-07-09,Chitanana,Chit3,A,NA,NA,NA,NA,NA,NA
2025-08-03,Chitanana,Chit3,A,NA,NA,NA,NA,NA,NA
2023-07-09,Chitanana,Chit3,B,unknown conifer,2.9,crumbly,25,NA,NA
2023-07-09,Chitanana,Chit3,B,unknown conifer,0.7,crumbly,75,NA,NA
2025-08-03,Chitanana,Chit3,B,NA,NA,NA,NA,NA,NA
2023-07-09,Chitanana,Chit3,C,NA,NA,NA,NA,NA,NA
2025-08-03,Chitanana,Chit3,C,NA,NA,NA,NA,NA,NA
2023-07-09,Chitanana,Chit4,A,NA,NA,NA,NA,NA,NA
2025-08-03,Chitanana,Chit4,A,NA,NA,NA,NA,NA,NA
2023-07-09,Chitanana,Chit4,B,NA,NA,NA,NA,NA,NA
2025-08-03,Chitanana,Chit4,B,NA,NA,NA,NA,NA,NA
2023-07-09,Chitanana,Chit4,C,NA,NA,NA,NA,NA,NA
2025-08-03,Chitanana,Chit4,C,NA,NA,NA,NA,NA,NA
2024-08-05,Dry Creek,DrCr1,A,NA,NA,NA,NA,NA,NA
2024-08-05,Dry Creek,DrCr1,B,black spruce,4.5,crumbly,25,NA,NA
2024-08-05,Dry Creek,DrCr1,B,black spruce,3.5,crumbly,25,NA,NA
2024-08-05,Dry Creek,DrCr1,C,NA,NA,NA,NA,NA,NA
2024-08-05,Dry Creek,DrCr2,A,NA,NA,NA,NA,NA,NA
2024-08-05,Dry Creek,DrCr2,B,NA,NA,NA,NA,NA,NA
2024-08-05,Dry Creek,DrCr2,C,NA,NA,NA,NA,NA,NA
2024-08-05,Dry Creek,DrCr3,A,NA,NA,NA,NA,NA,NA
2024-08-05,Dry Creek,DrCr3,B,black spruce,2.25,hard,25,NA,NA
2024-08-05,Dry Creek,DrCr3,C,NA,NA,NA,NA,NA,NA
2024-08-06,Dry Creek,DrCr4,A,NA,NA,NA,NA,NA,NA
2024-08-06,Dry Creek,DrCr4,B,NA,NA,NA,NA,NA,NA
2024-08-06,Dry Creek,DrCr4,C,NA,NA,NA,NA,NA,NA
2024-08-06,Dry Creek,DrCr5,A,black spruce,8.6,hard,25,NA,NA
2024-08-06,Dry Creek,DrCr5,B,NA,NA,NA,NA,NA,NA
2024-08-06,Dry Creek,DrCr5,C,NA,NA,NA,NA,NA,NA
2024-08-06,Dry Creek,DrCr6,A,NA,NA,NA,NA,NA,NA
2024-08-06,Dry Creek,DrCr6,B,black spruce,1.37,soft,25,NA,NA
2024-08-06,Dry Creek,DrCr6,C,NA,NA,NA,NA,NA,NA
2025-07-31,Globe,Glob1,A,NA,NA,NA,NA,NA,NA
2025-07-31,Globe,Glob1,B,NA,NA,NA,NA,NA,NA
2025-07-31,Globe,Glob1,C,NA,NA,NA,NA,NA,NA
2025-07-31,Globe,Glob2,A,NA,NA,NA,NA,NA,NA
2025-07-31,Globe,Glob2,B,NA,NA,NA,NA,NA,NA
2025-07-31,Globe,Glob2,C,NA,NA,NA,NA,NA,NA
2025-07-31,Globe,Glob3,A,NA,NA,NA,NA,NA,NA
2025-07-31,Globe,Glob3,B,NA,NA,NA,NA,NA,NA
2025-07-31,Globe,Glob3,C,NA,NA,NA,NA,NA,NA
2025-07-23,Globe,Glob4,A,NA,NA,NA,NA,NA,NA
2025-07-23,Globe,Glob4,B,NA,NA,NA,NA,NA,NA
2025-07-23,Globe,Glob4,C,NA,NA,NA,NA,NA,NA
2025-07-23,Globe,Glob5,A,black spruce,6.1,hard,25,NA,NA
2025-07-23,Globe,Glob5,A,black spruce,6.2,hard,25,NA,NA
2025-07-23,Globe,Glob5,A,black spruce,6,hard,25,NA,NA
2025-07-23,Globe,Glob5,B,black spruce,5.2,hard,25,NA,NA
2025-07-23,Globe,Glob5,C,black spruce,10.4,crumbly,75,NA,NA
2025-07-23,Globe,Glob6,A,NA,NA,NA,NA,NA,NA
2025-07-23,Globe,Glob6,B,NA,NA,NA,NA,NA,NA
2025-07-23,Globe,Glob6,C,NA,NA,NA,NA,NA,NA
2024-07-14,Haystack,Hays1,A,NA,NA,NA,NA,NA,NA
2024-07-14,Haystack,Hays1,B,NA,NA,NA,NA,NA,NA
2024-07-14,Haystack,Hays1,C,NA,NA,NA,NA,NA,NA
2024-07-14,Haystack,Hays2,A,NA,NA,NA,NA,NA,NA
2024-07-14,Haystack,Hays2,B,NA,NA,NA,NA,NA,NA
2024-07-14,Haystack,Hays2,C,NA,NA,NA,NA,NA,NA
2024-07-14,Haystack,Hays3,A,NA,NA,NA,NA,NA,NA
2024-07-14,Haystack,Hays3,B,NA,NA,NA,NA,NA,NA
2024-07-14,Haystack,Hays3,C,NA,NA,NA,NA,NA,NA
2024-07-25,Haystack,Hays4,A,NA,NA,NA,NA,NA,NA
2024-07-25,Haystack,Hays4,B,NA,NA,NA,NA,NA,NA
2024-07-25,Haystack,Hays4,C,black spruce,4.2,hard,25,NA,NA
2024-07-25,Haystack,Hays5,A,unknown,2.6,hard,75,Not included in browns transect,NA
2024-07-25,Haystack,Hays5,B,NA,NA,NA,NA,NA,NA
2024-07-25,Haystack,Hays5,C,black spruce,4.3,hard,50,Not included in browns transect,NA
2024-07-25,Haystack,Hays6,A,NA,NA,NA,NA,NA,NA
2024-07-25,Haystack,Hays6,B,NA,NA,NA,NA,NA,NA
2024-07-25,Haystack,Hays6,C,NA,NA,NA,NA,NA,NA
2021-07-10,Hess Creek,HeCr1,A,NA,NA,NA,NA,NA,NA
2024-07-22,Hess Creek,HeCr1,A,NA,NA,NA,NA,NA,NA
2021-07-10,Hess Creek,HeCr1,B,NA,NA,NA,NA,NA,NA
2024-07-22,Hess Creek,HeCr1,B,NA,NA,NA,NA,NA,NA
2021-07-10,Hess Creek,HeCr1,C,NA,NA,NA,NA,NA,NA
2024-07-22,Hess Creek,HeCr1,C,NA,NA,NA,NA,NA,NA
2021-07-10,Hess Creek,HeCr2,A,unknown,27.4,crumbly,75,NA,NA
2021-07-10,Hess Creek,HeCr2,A,unknown,17.3,crumbly,25,NA,NA
2021-07-10,Hess Creek,HeCr2,B,unknown,14.1,hard,50,NA,NA
2021-07-10,Hess Creek,HeCr2,B,unknown,7.5,soft,25,NA,NA
2021-07-10,Hess Creek,HeCr2,B,unknown,12,hard,50,NA,NA
2021-07-10,Hess Creek,HeCr2,B,unknown,5.5,hard,75,NA,NA
2021-07-10,Hess Creek,HeCr2,C,unknown,11.5,crumbly,75,NA,NA
2021-07-10,Hess Creek,HeCr2,C,unknown,16.5,crumbly,25,NA,NA
2021-07-10,Hess Creek,HeCr2,C,unknown,13.3,hard,50,NA,NA
2021-07-10,Hess Creek,HeCr2,C,unknown,11.6,soft,50,NA,NA
2021-07-11,Hess Creek,HeCr3,A,unknown,5.2,crumbly,75,NA,NA
2021-07-11,Hess Creek,HeCr3,B,unknown,5.1,hard,75,NA,NA
2021-07-11,Hess Creek,HeCr3,B,unknown,9,hard,75,NA,NA
2021-07-11,Hess Creek,HeCr3,C,unknown,10.5,crumbly,75,NA,NA
2021-07-11,Hess Creek,HeCr4,A,black spruce,5,hard,25,NA,NA
2024-07-23,Hess Creek,HeCr4,A,NA,NA,NA,NA,NA,NA
2021-07-11,Hess Creek,HeCr4,B,NA,NA,NA,NA,NA,NA
2024-07-23,Hess Creek,HeCr4,B,NA,NA,NA,NA,NA,NA
2021-07-11,Hess Creek,HeCr4,C,black spruce,5.4,hard,25,NA,NA
2024-07-23,Hess Creek,HeCr4,C,NA,NA,NA,NA,NA,NA
2021-07-10,Hess Creek,HeCr5,A,black spruce,5,hard,75,NA,NA
2021-07-10,Hess Creek,HeCr5,A,black spruce,7,hard,50,NA,NA
2021-07-10,Hess Creek,HeCr5,B,black spruce,7,soft,75,NA,NA
2021-07-10,Hess Creek,HeCr5,C,NA,NA,NA,NA,NA,NA
2021-07-10,Hess Creek,HeCr6,A,unknown,24.5,crumbly,25,NA,NA
2021-07-10,Hess Creek,HeCr6,B,NA,NA,NA,NA,NA,NA
2021-07-10,Hess Creek,HeCr6,C,unknown,5.5,hard,75,NA,NA
2021-07-10,Hess Creek,HeCr6,C,unknown,8.1,soft,75,NA,NA
2021-07-10,Hess Creek,HeCr6,C,unknown,7.5,hard,75,NA,NA
2021-07-10,Hess Creek,HeCr6,C,unknown,5.2,hard,50,NA,NA
2021-07-10,Hess Creek,HeCr6,C,unknown,5.7,crumbly,50,NA,NA
2025-08-08,Isom,Isom1,A,NA,NA,NA,NA,NA,NA
2025-08-08,Isom,Isom1,B,NA,NA,NA,NA,NA,NA
2025-08-08,Isom,Isom1,C,NA,NA,NA,NA,NA,NA
2025-08-08,Isom,Isom2,A,NA,NA,NA,NA,NA,NA
2025-08-08,Isom,Isom2,B,NA,NA,NA,NA,NA,NA
2025-08-08,Isom,Isom2,C,black spruce,5.7,hard,50,NA,NA
2023-07-24,Isom,Isom3,A,black spruce,2.2,hard,25,NA,NA
2023-07-24,Isom,Isom3,A,black spruce,2.6,hard,25,NA,NA
2025-08-08,Isom,Isom3,A,NA,NA,NA,NA,NA,NA
2023-07-24,Isom,Isom3,B,black spruce,3.1,crumbly,25,NA,NA
2023-07-24,Isom,Isom3,B,black spruce,1.6,hard,25,NA,NA
2023-07-24,Isom,Isom3,B,black spruce,2.1,hard,50,NA,NA
2023-07-24,Isom,Isom3,B,unknown,4.7,crumbly,75,NA,NA
2025-08-08,Isom,Isom3,B,NA,NA,NA,NA,NA,NA
2023-07-24,Isom,Isom3,C,unknown,2.4,soft,50,NA,NA
2023-07-24,Isom,Isom3,C,black spruce,4.5,hard,50,NA,NA
2023-07-24,Isom,Isom3,C,unknown,2.4,soft,75,NA,NA
2025-08-08,Isom,Isom3,C,NA,NA,NA,NA,NA,NA
2023-07-24,Isom,Isom4,A,black spruce,3,crumbly,25,NA,NA
2025-08-08,Isom,Isom4,A,NA,NA,NA,NA,NA,NA
2023-07-24,Isom,Isom4,B,black spruce,2.5,hard,50,NA,NA
2025-08-08,Isom,Isom4,B,NA,NA,NA,NA,NA,NA
2023-07-24,Isom,Isom4,C,NA,NA,NA,NA,NA,NA
2025-08-08,Isom,Isom4,C,NA,NA,NA,NA,NA,NA
2023-07-24,Isom,Isom5,A,unknown,3,crumbly,75,NA,NA
2025-08-08,Isom,Isom5,A,black spruce,5,hard,25,NA,NA
2023-07-24,Isom,Isom5,B,black spruce,3.4,hard,25,NA,NA
2023-07-24,Isom,Isom5,B,black spruce,3.3,hard,25,NA,NA
2023-07-24,Isom,Isom5,B,black spruce,1.3,crumbly,50,NA,NA
2025-08-08,Isom,Isom5,B,black spruce,17.7,hard,25,NA,NA
2025-08-08,Isom,Isom5,B,black spruce,5.4,hard,25,NA,NA
2023-07-24,Isom,Isom5,C,black spruce,2.4,hard,25,NA,NA
2023-07-24,Isom,Isom5,C,black spruce,4,hard,25,NA,NA
2023-07-24,Isom,Isom5,C,unknown,1.7,hard,50,NA,NA
2023-07-24,Isom,Isom5,C,unknown,3.1,hard,75,NA,NA
2023-07-24,Isom,Isom5,C,unknown,1.2,hard,75,NA,NA
2025-08-08,Isom,Isom5,C,black spruce,6.9,hard,25,NA,NA
2024-07-15,Lost Horse,LoHo1,A,NA,NA,NA,NA,NA,NA
2024-07-15,Lost Horse,LoHo1,B,black spruce,6.5,crumbly,25,NA,NA
2024-07-15,Lost Horse,LoHo1,C,NA,NA,NA,NA,NA,NA
2024-07-15,Lost Horse,LoHo2,A,NA,NA,NA,NA,NA,NA
2024-07-15,Lost Horse,LoHo2,B,NA,NA,NA,NA,NA,NA
2024-07-15,Lost Horse,LoHo2,C,NA,NA,NA,NA,NA,NA
2024-07-15,Lost Horse,LoHo3,A,NA,NA,NA,NA,NA,NA
2024-07-15,Lost Horse,LoHo3,C,black spruce,10.5,crumbly,25,NA,NA
2024-07-18,Lost Horse,LoHo4,A,NA,NA,NA,NA,NA,NA
2024-07-18,Lost Horse,LoHo4,B,NA,NA,NA,NA,NA,NA
2024-07-18,Lost Horse,LoHo4,C,NA,NA,NA,NA,NA,NA
2024-07-18,Lost Horse,LoHo5,A,NA,NA,NA,NA,NA,NA
2024-07-18,Lost Horse,LoHo5,B,NA,NA,NA,NA,NA,NA
2024-07-18,Lost Horse,LoHo5,C,unknown,2.7,hard,25,NA,NA
2024-07-18,Lost Horse,LoHo6,A,unknown,3.1,hard,50,NA,NA
2024-07-18,Lost Horse,LoHo6,B,NA,NA,NA,NA,NA,NA
2024-07-18,Lost Horse,LoHo6,C,NA,NA,NA,NA,NA,NA
2024-07-15,Lost Horse,Loho3,B,NA,NA,NA,NA,NA,NA
2024-07-28,McCoy Creek,McCr1,A,NA,NA,NA,NA,NA,NA
2024-07-28,McCoy Creek,McCr1,B,NA,NA,NA,NA,NA,NA
2024-07-28,McCoy Creek,McCr1,C,NA,NA,NA,NA,NA,NA
2024-07-29,McCoy Creek,McCr2,A,NA,NA,NA,NA,NA,NA
2024-07-29,McCoy Creek,McCr2,B,NA,NA,NA,NA,NA,NA
